Voornaam,Achternaam,Gebruikersnaam,DisplayName,UserPrincipalName,Department,Title,Description,Wachtwoord,VerzamelOU,GebruikersOU
Kaoru,Mitoma,mitom415,Kaoru Mitoma,mitom415@homelab.net,Japan,WK 2026 Speler - Aanvaller,Voetballer voor Japan op het WK 2026,mnYCMv&9,"Voetbal","Japan"
Takefusa,Kubo,kubox136,Takefusa Kubo,kubox136@homelab.net,Japan,WK 2026 Speler - Aanvaller,Voetballer voor Japan op het WK 2026,IQV0l&jx,"Voetbal","Japan"
Wataru,Endo,endox514,Wataru Endo,endox514@homelab.net,Japan,WK 2026 Speler - Middenvelder,Voetballer voor Japan op het WK 2026,6w8J#57y,"Voetbal","Japan"
Achraf,Hakimi,hakim267,Achraf Hakimi,hakim267@homelab.net,Marokko,WK 2026 Speler - Verdediger,Voetballer voor Marokko op het WK 2026,By%PI4MG,"Voetbal","Marokko"
Youssef,En-Nesyri,ennes956,Youssef En-Nesyri,ennes956@homelab.net,Marokko,WK 2026 Speler - Aanvaller,Voetballer voor Marokko op het WK 2026,#CKK4%yr,"Voetbal","Marokko"
Hakim,Ziyech,ziyec661,Hakim Ziyech,ziyec661@homelab.net,Marokko,WK 2026 Speler - Middenvelder,Voetballer voor Marokko op het WK 2026,3Js&LLfU,"Voetbal","Marokko"
Yassine,Bounou,bouno923,Yassine Bounou,bouno923@homelab.net,Marokko,WK 2026 Speler - Doelman,Voetballer voor Marokko op het WK 2026,qijVP#g9,"Voetbal","Marokko"
Vivianne,Miedema,miede217,Vivianne Miedema,miede217@homelab.net,Nederland,International Speler - Aanvaller,Vrouwelijk international voor Nederland,u94CJHY%,"Voetbal","Nederland"
Lieke,Martens,marte847,Lieke Martens,marte847@homelab.net,Nederland,International Speler - Aanvaller,Vrouwelijk international voor Nederland,@1@930bY,"Voetbal","Nederland"
Jill,Roord,roord359,Jill Roord,roord359@homelab.net,Nederland,International Speler - Middenvelder,Vrouwelijk international voor Nederland,E2ew6&@b,"Voetbal","Nederland"
Jackie,Groenen,groen500,Jackie Groenen,groen500@homelab.net,Nederland,International Speler - Middenvelder,Vrouwelijk international voor Nederland,9xZn#lpX,"Voetbal","Nederland"
Daphne,van Domselaar,domse332,Daphne van Domselaar,domse332@homelab.net,Nederland,International Speler - Doelman,Vrouwelijk international voor Nederland,nl3@0eA0,"Voetbal","Nederland"
Dominique,Janssen,janss242,Dominique Janssen,janss242@homelab.net,Nederland,International Speler - Verdediger,Vrouwelijk international voor Nederland,i!MLy4Gp,"Voetbal","Nederland"
Lineth,Beerensteyn,beere380,Lineth Beerensteyn,beere380@homelab.net,Nederland,International Speler - Aanvaller,Vrouwelijk international voor Nederland,Q%5hrB2e,"Voetbal","Nederland"
Esmee,Brugts,brugt757,Esmee Brugts,brugt757@homelab.net,Nederland,International Speler - Aanvaller,Vrouwelijk international voor Nederland,4rWa@Tfj,"Voetbal","Nederland"
Aitana,Bonmatí,bonma178,Aitana Bonmatí,bonma178@homelab.net,Spanje,International Speler - Middenvelder,Vrouwelijk international voor Spanje,m73H$Tdx,"Voetbal","Spanje"
Alexia,Putellas,putel647,Alexia Putellas,putel647@homelab.net,Spanje,International Speler - Middenvelder,Vrouwelijk international voor Spanje,ZM&7Qobo,"Voetbal","Spanje"
Salma,Paralluelo,paral768,Salma Paralluelo,paral768@homelab.net,Spanje,International Speler - Aanvaller,Vrouwelijk international voor Spanje,%fhf78DC,"Voetbal","Spanje"
Jenni,Hermoso,hermo893,Jenni Hermoso,hermo893@homelab.net,Spanje,International Speler - Aanvaller,Vrouwelijk international voor Spanje,8$Q#cfSt,"Voetbal","Spanje"
Ona,Batlle,batll797,Ona Batlle,batll797@homelab.net,Spanje,International Speler - Verdediger,Vrouwelijk international voor Spanje,F0&WNgOS,"Voetbal","Spanje"
Irene,Paredes,pared838,Irene Paredes,pared838@homelab.net,Spanje,International Speler - Verdediger,Vrouwelijk international voor Spanje,p&bu&Xj4,"Voetbal","Spanje"
Cata,Coll,collx871,Cata Coll,collx871@homelab.net,Spanje,International Speler - Doelman,Vrouwelijk international voor Spanje,268WAcz@,"Voetbal","Spanje"
Sophia,Smith,smith533,Sophia Smith,smith533@homelab.net,Verenigde Staten,International Speler - Aanvaller,Vrouwelijk international voor Verenigde Staten,W5ls@hc#,"Voetbal","VerenigdeStaten"
Trinity,Rodman,rodma536,Trinity Rodman,rodma536@homelab.net,Verenigde Staten,International Speler - Aanvaller,Vrouwelijk international voor Verenigde Staten,oy&1Fpwp,"Voetbal","VerenigdeStaten"
Lindsey,Horan,horan792,Lindsey Horan,horan792@homelab.net,Verenigde Staten,International Speler - Middenvelder,Vrouwelijk international voor Verenigde Staten,A@6#Wzf&,"Voetbal","VerenigdeStaten"
Rose,Lavelle,lavel954,Rose Lavelle,lavel954@homelab.net,Verenigde Staten,International Speler - Middenvelder,Vrouwelijk international voor Verenigde Staten,A&DV0vn5,"Voetbal","VerenigdeStaten"
Naomi,Girma,girma832,Naomi Girma,girma832@homelab.net,Verenigde Staten,International Speler - Verdediger,Vrouwelijk international voor Verenigde Staten,zz4JKN$d,"Voetbal","VerenigdeStaten"
Alyssa,Naeher,naehe526,Alyssa Naeher,naehe526@homelab.net,Verenigde Staten,International Speler - Doelman,Vrouwelijk international voor Verenigde Staten,#VWcH9Lz,"Voetbal","VerenigdeStaten"
Mallory,Swanson,swans951,Mallory Swanson,swans951@homelab.net,Verenigde Staten,International Speler - Aanvaller,Vrouwelijk international voor Verenigde Staten,!keJqZ4R,"Voetbal","VerenigdeStaten"
Keira,Walsh,walsh292,Keira Walsh,walsh292@homelab.net,Engeland,International Speler - Middenvelder,Vrouwelijk international voor Engeland,Aa7%2%Q6,"Voetbal","Engeland"
Lucy,Bronze,bronz343,Lucy Bronze,bronz343@homelab.net,Engeland,International Speler - Verdediger,Vrouwelijk international voor Engeland,&1pQ2489,"Voetbal","Engeland"
Mary,Earps,earps295,Mary Earps,earps295@homelab.net,Engeland,International Speler - Doelman,Vrouwelijk international voor Engeland,p2ierO%s,"Voetbal","Engeland"
Georgia,Stanway,stanw275,Georgia Stanway,stanw275@homelab.net,Engeland,International Speler - Middenvelder,Vrouwelijk international voor Engeland,jl%8Vf!w,"Voetbal","Engeland"
Lauren,Hemp,hempx401,Lauren Hemp,hempx401@homelab.net,Engeland,International Speler - Aanvaller,Vrouwelijk international voor Engeland,8uPjF5@d,"Voetbal","Engeland"
Lauren,James,james714,Lauren James,james714@homelab.net,Engeland,International Speler - Aanvaller,Vrouwelijk international voor Engeland,loi&jL9U,"Voetbal","Engeland"
Alessia,Russo,russo175,Alessia Russo,russo175@homelab.net,Engeland,International Speler - Aanvaller,Vrouwelijk international voor Engeland,t8qf$CQO,"Voetbal","Engeland"
Sam,Kerr,kerrx898,Sam Kerr,kerrx898@homelab.net,Australië,International Speler - Aanvaller,Vrouwelijk international voor Australië,PRXj$002,"Voetbal","Australie"
Caitlin,Foord,foord970,Caitlin Foord,foord970@homelab.net,Australië,International Speler - Aanvaller,Vrouwelijk international voor Australië,!3dodPrl,"Voetbal","Australie"
Steph,Catley,catle203,Steph Catley,catle203@homelab.net,Australië,International Speler - Verdediger,Vrouwelijk international voor Australië,4XxlflD@,"Voetbal","Australie"
Mackenzie,Arnold,arnol347,Mackenzie Arnold,arnol347@homelab.net,Australië,International Speler - Doelman,Vrouwelijk international voor Australië,%yiV%0tI,"Voetbal","Australie"
Kadidiatou,Diani,diani874,Kadidiatou Diani,diani874@homelab.net,Frankrijk,International Speler - Aanvaller,Vrouwelijk international voor Frankrijk,9&eVypC2,"Voetbal","Frankrijk"
Wendie,Renard,renar753,Wendie Renard,renar753@homelab.net,Frankrijk,International Speler - Verdediger,Vrouwelijk international voor Frankrijk,XZ4ETs5$,"Voetbal","Frankrijk"
Grace,Geyoro,geyor559,Grace Geyoro,geyor559@homelab.net,Frankrijk,International Speler - Middenvelder,Vrouwelijk international voor Frankrijk,FRi&BG@3,"Voetbal","Frankrijk"
Marie-Antoinette,Katoto,katot232,Marie-Antoinette Katoto,katot232@homelab.net,Frankrijk,International Speler - Aanvaller,Vrouwelijk international voor Frankrijk,BX#Tsu8Z,"Voetbal","Frankrijk"
Alexandra,Popp,poppx760,Alexandra Popp,poppx760@homelab.net,Duitsland,International Speler - Aanvaller,Vrouwelijk international voor Duitsland,a0o$czVb,"Voetbal","Duitsland"
Lena,Oberdorf,oberd259,Lena Oberdorf,oberd259@homelab.net,Duitsland,International Speler - Middenvelder,Vrouwelijk international voor Duitsland,y5SP%V8#,"Voetbal","Duitsland"
Giulia,Gwinn,gwinn160,Giulia Gwinn,gwinn160@homelab.net,Duitsland,International Speler - Verdediger,Vrouwelijk international voor Duitsland,yhld0$Ws,"Voetbal","Duitsland"
Merle,Frohms,frohm100,Merle Frohms,frohm100@homelab.net,Duitsland,International Speler - Doelman,Vrouwelijk international voor Duitsland,4C#AjBGM,"Voetbal","Duitsland"
Marta,Vieira da Silva,silva634,Marta Vieira da Silva,silva634@homelab.net,Brazilië,International Speler - Aanvaller,Vrouwelijk international voor Brazilië,L2nQz$gA,"Voetbal","Brazilie"
Debinha,Miri,mirix730,Debinha Miri,mirix730@homelab.net,Brazilië,International Speler - Aanvaller,Vrouwelijk international voor Brazilië,paRuwg3@,"Voetbal","Brazilie"
Tamires,Dias,diasx737,Tamires Dias,diasx737@homelab.net,Brazilië,International Speler - Verdediger,Vrouwelijk international voor Brazilië,M3GxaY#o,"Voetbal","Brazilie"
Ada,Hegerberg,heger964,Ada Hegerberg,heger964@homelab.net,Noorwegen,International Speler - Aanvaller,Vrouwelijk international voor Noorwegen,u6%QeoUq,"Voetbal","Noorwegen"
Caroline,Graham Hansen,hanse158,Caroline Graham Hansen,hanse158@homelab.net,Noorwegen,International Speler - Aanvaller,Vrouwelijk international voor Noorwegen,l6$rVIDN,"Voetbal","Noorwegen"
Fridolina,Rolfoe,rolfo964,Fridolina Rolfoe,rolfo964@homelab.net,Zweden,International Speler - Aanvaller,Vrouwelijk international voor Zweden,zh4#Owp9,"Voetbal","Zweden"
Stina,Blackstenius,black944,Stina Blackstenius,black944@homelab.net,Zweden,International Speler - Aanvaller,Vrouwelijk international voor Zweden,eB%V1ibM,"Voetbal","Zweden"
Linda,Caicedo,caice862,Linda Caicedo,caice862@homelab.net,Colombia,International Speler - Aanvaller,Vrouwelijk international voor Colombia,Mb@D9tOA,"Voetbal","Colombia"
Barbra,Banda,banda645,Barbra Banda,banda645@homelab.net,Zambia,International Speler - Aanvaller,Vrouwelijk international voor Zambia,7m1@XX82,"Voetbal","Zambia"
Yui,Hasegawa,haseg403,Yui Hasegawa,haseg403@homelab.net,Japan,International Speler - Middenvelder,Vrouwelijk international voor Japan,Mm3ezp@g,"Voetbal","Japan"
Hinata,Miyazawa,miyaz948,Hinata Miyazawa,miyaz948@homelab.net,Japan,International Speler - Aanvaller,Vrouwelijk international voor Japan,YKE0$p1o,"Voetbal","Japan"
Erik,VanderArend,arenderi,Erik van der Arend,vanderarend@homelab.net,Saxion,Docent,Docent Bachelor ICT,!@WACHTwoord#$,"Docenten","BachelorICT"
Henk,Broekman,broekhen,Henk Broekman,broekman@homelab.net,Saxion,Docent,Docent Bachelor ICT,!@WACHTwoord#$,"Docenten","BachelorICT"
Steven,VanderLinden,lindestev,Steven van der Linden,vanderlinden@homelab.net,Saxion,Docent,Docent Bachelor ICT,!@WACHTwoord#$,"Docenten","BachelorICT"
John,Tutert,tuterjoh,John Tutert,tutert@homelab.net,Saxion,Docent,Docent Bachelor ICT,!@WACHTwoord#$,"Docenten","BachelorICT"
